,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.4979945311364251,0.4977892238137128
1,0.59140625,0.613125,0.04015625,0.04625,0.31578125,0.3296875,0.6332061714205226,0.6222168294740834
2,0.42578125,0.460625,0.10796875,0.13125,0.266875,0.2959375,0.6349658978807782,0.6216534984757981
3,0.71546875,0.72625,0.0225,0.024375,0.368984375,0.3753125,0.6125731748293232,0.6040410904525978
4,0.33609375,0.374375,0.1709375,0.19875,0.253515625,0.2865625,0.6676348623963968,0.6481565378254
5,0.32890625,0.351875,0.18734375,0.201875,0.258125,0.276875,0.6056705809824179,0.5968867127379474
6,0.4896875,0.52625,0.09171875,0.1025,0.290703125,0.314375,0.6393565786427786,0.6281618199189151
7,0.60234375,0.62375,0.0459375,0.06125,0.324140625,0.3425,0.626911979309149,0.6165332301955697
8,0.12609375,0.1475,0.3628125,0.400625,0.244453125,0.2740625,0.679624494916918,0.6626625318260068
9,0.48859375,0.50875,0.11125,0.138125,0.299921875,0.3234375,0.6362645763413816,0.6241441275114524
10,0.58921875,0.610625,0.080625,0.086875,0.334921875,0.34875,0.6457123096990215,0.6305890963749158
11,0.63921875,0.66625,0.06390625,0.07375,0.3515625,0.37,0.6138991646870495,0.6009423172751412
12,0.62765625,0.648125,0.09796875,0.12125,0.3628125,0.3846875,0.6260479671146258,0.6109204186406381
13,0.5434375,0.56625,0.10984375,0.1425,0.326640625,0.354375,0.6288442933400837,0.6123571310385784
14,0.41125,0.433125,0.23296875,0.248125,0.322109375,0.340625,0.6414231665628695,0.6267703267993925
15,0.5115625,0.543125,0.149375,0.1675,0.33046875,0.3553125,0.6295782333949903,0.616634078459739
16,0.410625,0.445,0.248125,0.27125,0.329375,0.358125,0.6285202165609621,0.6136576502438258
17,0.3259375,0.338125,0.32203125,0.33625,0.323984375,0.3371875,0.6285360753620541,0.6157088234295506
18,0.53703125,0.565625,0.15796875,0.1775,0.3475,0.3715625,0.6302331958620698,0.6127910559692022
19,0.45578125,0.485625,0.26796875,0.28125,0.361875,0.3834375,0.6157125680077046,0.5997149439135769
20,0.31296875,0.341875,0.29984375,0.3425,0.30640625,0.3421875,0.6555257106165553,0.6328957560753593
