,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.703125,0.775,0.340625,0.425,0.521875,0.6,0.499580982341835,0.49883777948894925
1,0.26875,0.225,0.35,0.425,0.309375,0.325,0.5068295816160917,0.5074214628242104
2,0.359375,0.2875,0.19375,0.2125,0.2765625,0.25,0.5134279071609733,0.5156531393174778
3,0.29375,0.275,0.225,0.2125,0.259375,0.24375,0.523308753650921,0.5273885187410776
4,0.309375,0.2875,0.19375,0.1875,0.2515625,0.2375,0.537420109193912,0.544049247364452
5,0.453125,0.45,0.11875,0.1125,0.2859375,0.28125,0.5540481661767702,0.5615632130634631
6,0.3375,0.35,0.15625,0.1625,0.246875,0.25625,0.5738225872519891,0.5819791402332175
7,0.209375,0.2375,0.278125,0.2625,0.24375,0.25,0.5903859804080513,0.5943572435760105
8,0.4875,0.5875,0.059375,0.075,0.2734375,0.33125,0.5981226984343501,0.596888763476881
9,0.35625,0.45,0.121875,0.1375,0.2390625,0.29375,0.6132514907197484,0.6066125891143602
10,0.453125,0.6,0.0875,0.1,0.2703125,0.35,0.619252189478346,0.6037002479436133
