,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5000111180569407,0.500266863924139
1,0.725,0.6875,0.015625,0.025,0.3703125,0.35625,0.5091723229906101,0.5121412383859937
2,0.375,0.35,0.165625,0.1625,0.2703125,0.25625,0.5116292411221088,0.515143521189976
3,0.496875,0.475,0.0875,0.1125,0.2921875,0.29375,0.5199150494421302,0.5254467016513731
4,0.56875,0.5,0.08125,0.0875,0.325,0.29375,0.5375212511398276,0.5464702054424718
5,0.071875,0.0375,0.6125,0.5875,0.3421875,0.3125,0.5548765778921322,0.5675272490445267
6,0.3625,0.3875,0.14375,0.15,0.253125,0.26875,0.5690456882581659,0.5773741422131167
7,0.66875,0.625,0.05,0.05,0.359375,0.3375,0.5780166214502394,0.5850329882414528
8,0.253125,0.2625,0.215625,0.2625,0.234375,0.2625,0.5826362676566722,0.5845816618566294
9,0.503125,0.525,0.075,0.1125,0.2890625,0.31875,0.5887961814578405,0.5904903944860662
10,0.2625,0.3125,0.209375,0.275,0.2359375,0.29375,0.5895568535003651,0.5882160381768718
