,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.04375,0.025,0.946875,0.975,0.4953125,0.5,0.5006018890801248,0.5006292070794094
1,0.91875,0.925,0.0,0.0,0.459375,0.4625,0.5068273849402463,0.5076289677345475
2,0.815625,0.875,0.0125,0.0125,0.4140625,0.44375,0.5128957445573268,0.5100235217983837
3,0.825,0.8625,0.0125,0.0,0.41875,0.43125,0.5182562287761288,0.5130870949478206
4,0.63125,0.675,0.190625,0.175,0.4109375,0.425,0.5269434013530337,0.5181752475005215
5,0.421875,0.4375,0.375,0.3625,0.3984375,0.4,0.5336011126603571,0.5210189866354609
6,0.3875,0.4625,0.41875,0.45,0.403125,0.45625,0.5366553758528101,0.5203114699319814
7,0.340625,0.375,0.50625,0.4875,0.4234375,0.43125,0.53941901626289,0.5200105045124903
8,0.490625,0.5625,0.30625,0.3,0.3984375,0.43125,0.5478484484050569,0.5260398561852984
9,0.4625,0.5375,0.38125,0.3875,0.421875,0.4625,0.5456251426326242,0.5169786395674599
10,0.446875,0.4625,0.384375,0.3875,0.415625,0.425,0.5528213338413197,0.5227228807801828
