,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5013498548619825,0.5014221711769984
1,0.921875,1.0,0.08125,0.1,0.5015625,0.55,0.5004139583050259,0.49984196105582407
2,0.059375,0.1,0.85625,0.8625,0.4578125,0.48125,0.5012628545223287,0.5003074663453919
3,0.40625,0.4875,0.5125,0.6,0.459375,0.54375,0.5024004150120682,0.5000296953973177
4,0.809375,0.85,0.175,0.1375,0.4921875,0.49375,0.5031506511367669,0.49988878670646636
5,1.0,1.0,0.0,0.0,0.5,0.5,0.5004986013693541,0.5001865631455722
6,0.971875,0.975,0.021875,0.0125,0.496875,0.49375,0.5015353907235459,0.5005995657607161
7,0.9375,0.95,0.046875,0.025,0.4921875,0.4875,0.5026722012203566,0.5000041544384976
8,0.096875,0.075,0.796875,0.85,0.446875,0.4625,0.5093197087845963,0.49969998593208487
9,1.0,1.0,0.0,0.0,0.5,0.5,0.5004845147547226,0.5003719016787654
10,0.996875,0.9625,0.0,0.0,0.4984375,0.48125,0.5007677438129193,0.5019655848552477
