,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5012392417892628,0.5011757993582028
1,0.33125,0.2125,0.203125,0.2,0.2671875,0.20625,0.516407815479696,0.5214322451061261
2,0.0,0.0,0.925,0.9,0.4625,0.45,0.5233974778599976,0.530050964726281
3,0.153125,0.1,0.359375,0.325,0.25625,0.2125,0.532097221977348,0.5409347538627876
4,0.034375,0.025,0.621875,0.6125,0.328125,0.31875,0.5384189470431265,0.5485404656218116
5,0.04375,0.0375,0.609375,0.575,0.3265625,0.30625,0.5448270771618504,0.5550643390299529
6,0.075,0.0625,0.515625,0.5,0.2953125,0.28125,0.5520466920846804,0.5634194896466216
7,0.06875,0.0625,0.54375,0.525,0.30625,0.29375,0.5573743073140112,0.5691656201735352
8,0.065625,0.05,0.534375,0.55,0.3,0.3,0.563311384957567,0.5741022179125552
9,0.084375,0.0625,0.478125,0.5125,0.28125,0.2875,0.5686610749911287,0.5798126133102082
10,0.04375,0.0375,0.628125,0.65,0.3359375,0.34375,0.5726898364617975,0.582728462790258
