,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.03125,0.05,0.953125,0.9,0.4921875,0.475,0.5019291765912811,0.5034683789278069
1,0.478125,0.425,0.35,0.2125,0.4140625,0.31875,0.5026209832463866,0.5037445672081814
2,0.396875,0.3625,0.390625,0.2875,0.39375,0.325,0.5033924554828529,0.5047032269808266
3,0.625,0.6,0.184375,0.05,0.4046875,0.325,0.5041678318564393,0.5056302787411754
4,0.26875,0.2625,0.434375,0.325,0.3515625,0.29375,0.504869949081184,0.5064037236642797
5,0.3125,0.2875,0.35,0.225,0.33125,0.25625,0.5056376869133612,0.5073917423159593
6,0.44375,0.4125,0.246875,0.125,0.3453125,0.26875,0.5063845262822999,0.5083135023019654
7,0.19375,0.2125,0.434375,0.4,0.3140625,0.30625,0.5072118954007867,0.5093309192369926
8,0.33125,0.3125,0.3,0.1625,0.315625,0.2375,0.5077699681813586,0.5099884748497907
9,0.459375,0.425,0.171875,0.0875,0.315625,0.25625,0.5084700149865583,0.5108335458946136
10,0.28125,0.2875,0.31875,0.2625,0.3,0.275,0.5090449518913027,0.511473151891144
