,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5005248143219224,0.5004675910112355
1,0.309375,0.35,0.671875,0.6375,0.490625,0.49375,0.49999910922983853,0.4998510974469589
2,0.409375,0.5,0.496875,0.5625,0.453125,0.53125,0.5004285014712055,0.5004055662927076
3,0.215625,0.25,0.70625,0.6875,0.4609375,0.46875,0.5008236281037796,0.5009605375168151
4,0.4875,0.5125,0.421875,0.425,0.4546875,0.46875,0.5011038229501539,0.5012924863335878
5,0.3,0.4,0.528125,0.55,0.4140625,0.475,0.5013623261758058,0.5016289224880405
6,0.73125,0.7125,0.20625,0.1625,0.46875,0.4375,0.5016456205605581,0.5020307451245565
7,0.403125,0.475,0.4,0.4,0.4015625,0.4375,0.5018621163556516,0.5023828409343842
8,0.35,0.425,0.4125,0.4625,0.38125,0.44375,0.5020602569962651,0.5026461854459424
9,0.765625,0.75,0.184375,0.0875,0.475,0.41875,0.502204451430728,0.5028700489729391
10,0.484375,0.525,0.3375,0.3125,0.4109375,0.41875,0.502444695461539,0.5032097452205182
