,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0125,0.0,0.99375,1.0,0.503125,0.5,0.49781479825510705,0.49669975415015344
1,0.134375,0.1125,0.75,0.65,0.4421875,0.38125,0.5005907515561435,0.5008224914351569
2,0.0,0.0,1.0,1.0,0.5,0.5,0.5004501604914442,0.5003271751623677
3,0.178125,0.1375,0.675,0.725,0.4265625,0.43125,0.5011906720298489,0.5008525762483675
4,0.0375,0.0375,0.878125,0.9,0.4578125,0.46875,0.5034526262331254,0.5016471774627633
5,0.5125,0.5625,0.334375,0.3625,0.4234375,0.4625,0.51053227316236,0.5056550698822775
6,0.590625,0.6,0.3375,0.425,0.4640625,0.5125,0.5148160246588969,0.5013127608127983
7,0.64375,0.65,0.1625,0.2375,0.403125,0.44375,0.5297798929456881,0.5202465742876483
8,0.7,0.7,0.240625,0.2375,0.4703125,0.46875,0.5216726964879281,0.5080136070571354
9,0.66875,0.7125,0.303125,0.3125,0.4859375,0.5125,0.5073064397908953,0.4925094719033648
10,0.746875,0.8,0.2125,0.2875,0.4796875,0.54375,0.5162859111515719,0.48850344158552444
