,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.4999133318781247,0.4996602855441619
1,0.0875,0.0625,0.69375,0.7375,0.390625,0.4,0.504754488678775,0.5064999945029415
2,0.58125,0.4875,0.128125,0.1125,0.3546875,0.3,0.5081457767891544,0.5108863477788764
3,0.0375,0.0125,0.690625,0.7125,0.3640625,0.3625,0.5128651579116581,0.5162584493075946
4,0.125,0.1,0.53125,0.55,0.328125,0.325,0.5207264974136363,0.526634563916079
5,0.040625,0.0125,0.734375,0.725,0.3875,0.36875,0.5333059051269685,0.5419341338233297
6,0.55625,0.525,0.096875,0.0375,0.3265625,0.28125,0.54205092171937,0.5509761813999505
7,0.659375,0.5875,0.021875,0.025,0.340625,0.30625,0.5606744791442634,0.571312341667062
8,0.43125,0.4125,0.11875,0.1125,0.275,0.2625,0.5748250276478113,0.5857922817398302
9,0.45,0.475,0.09375,0.1375,0.271875,0.30625,0.5863951559487994,0.5887827757475302
10,0.6625,0.5625,0.053125,0.1,0.3578125,0.33125,0.5734389115678152,0.5793846466914926
