,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.025,0.5,0.5125,0.4990305967132003,0.4977933205618698
1,0.209375,0.15,0.571875,0.6125,0.390625,0.38125,0.5068925530516367,0.5082120840066326
2,0.1375,0.125,0.525,0.5125,0.33125,0.31875,0.5111576549199859,0.5134564082677129
3,0.10625,0.0625,0.59375,0.55,0.35,0.30625,0.5139362484073604,0.5172337491468453
4,0.0875,0.05,0.578125,0.5375,0.3328125,0.29375,0.5181436766080434,0.5222595212619098
5,0.559375,0.575,0.046875,0.0375,0.303125,0.30625,0.5213315804189905,0.5258878205146058
6,0.353125,0.3625,0.1625,0.1625,0.2578125,0.2625,0.5253429713000702,0.5313133550239331
7,0.653125,0.6375,0.025,0.0125,0.3390625,0.325,0.5289975840565223,0.5352063856436023
8,0.303125,0.3,0.2,0.175,0.2515625,0.2375,0.5335640332035175,0.5406873751061649
9,0.153125,0.1875,0.34375,0.3625,0.2484375,0.275,0.5376655096551493,0.5454769332797802
10,0.29375,0.2875,0.190625,0.1625,0.2421875,0.225,0.5437586294484401,0.5526867816909747
