,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.4992802421895844,0.49920273867889575
1,1.0,1.0,0.0,0.0,0.5,0.5,0.4997290244361713,0.4997067469657573
2,1.0,1.0,0.0,0.0,0.5,0.5,0.49987948349656863,0.49974774062541893
3,1.0,1.0,0.0,0.0,0.5,0.5,0.49998420583834696,0.4999704281138916
4,1.0,1.0,0.0,0.0,0.5,0.5,0.5000973543048782,0.5000860535248861
5,1.0,1.0,0.0,0.0,0.5,0.5,0.5002158898068567,0.500159488924988
6,1.0,1.0,0.0,0.0,0.5,0.5,0.5004021406665201,0.5003200072015905
7,1.0,1.0,0.0,0.0,0.5,0.5,0.5005748153679798,0.5005086015769227
8,1.0,1.0,0.0,0.0,0.5,0.5,0.5008199176099198,0.5007671058144154
9,0.996875,1.0,0.00625,0.0,0.5015625,0.5,0.5010749818430128,0.5010214315749806
10,0.965625,0.9875,0.025,0.0,0.4953125,0.49375,0.5012720608473284,0.5012205287729866
