,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5022756792428675,0.5015706542225614
1,0.434375,0.375,0.60625,0.5875,0.5203125,0.48125,0.5000000826323806,0.49996718725961176
2,0.471875,0.4375,0.54375,0.4625,0.5078125,0.45,0.5000312287507479,0.5005347909070538
3,0.6375,0.575,0.36875,0.325,0.503125,0.45,0.5006885244343264,0.5032411514983253
4,0.053125,0.0625,0.825,0.875,0.4390625,0.46875,0.5005553116733779,0.5009097100570651
5,0.0,0.0,0.978125,0.9625,0.4890625,0.48125,0.5016941161149738,0.5032662205329559
6,0.93125,0.875,0.084375,0.075,0.5078125,0.475,0.5027906594006184,0.5056749126984427
7,0.575,0.55,0.38125,0.2625,0.478125,0.40625,0.5036889382844931,0.5055621692558807
8,0.003125,0.0125,0.940625,0.9375,0.471875,0.475,0.5083224616750213,0.5107924028219893
9,0.18125,0.2,0.7125,0.675,0.446875,0.4375,0.5099102511664705,0.5150585742189895
10,0.859375,0.9,0.10625,0.125,0.4828125,0.5125,0.5111776931724525,0.5142306881146366
