,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5001561280431988,0.5005829667104279
1,0.296875,0.325,0.490625,0.4625,0.39375,0.39375,0.5032283792156824,0.5037790822043913
2,0.09375,0.1,0.69375,0.6875,0.39375,0.39375,0.5045921642962156,0.5053940619270836
3,0.11875,0.1625,0.621875,0.6,0.3703125,0.38125,0.5053995313381444,0.5063385236636908
4,0.36875,0.3875,0.328125,0.2,0.3484375,0.29375,0.5063046962965065,0.5074867066241794
5,0.203125,0.2375,0.459375,0.4625,0.33125,0.35,0.506919394621066,0.5081797288219226
6,0.265625,0.275,0.409375,0.3375,0.3375,0.30625,0.5074698121234194,0.5089026091285319
7,0.2875,0.3375,0.35,0.2625,0.31875,0.3,0.5081193614722197,0.5097491796858982
8,0.165625,0.1875,0.475,0.475,0.3203125,0.33125,0.5086851934577703,0.5102861128648167
9,0.334375,0.4125,0.26875,0.125,0.3015625,0.26875,0.5091295854763255,0.5109308253645001
10,0.30625,0.375,0.275,0.1125,0.290625,0.24375,0.5094334424988389,0.5113263248541509
