,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5005117614556698,0.5003882011412972
1,0.03125,0.025,0.784375,0.8125,0.4078125,0.41875,0.5069176881944983,0.5088462425803855
2,0.0,0.0,0.9625,0.9125,0.48125,0.45625,0.5082584897035733,0.5100222328929448
3,0.00625,0.025,0.91875,0.875,0.4625,0.45,0.5077165234581698,0.5098498953699782
4,0.934375,0.925,0.0,0.0125,0.4671875,0.46875,0.5080894639544141,0.5093622886667187
5,0.075,0.0625,0.671875,0.7,0.3734375,0.38125,0.5151099194913011,0.5174693515251796
6,0.15,0.125,0.590625,0.575,0.3703125,0.35,0.5131904688700462,0.5146311781235915
7,0.09375,0.0625,0.678125,0.7125,0.3859375,0.3875,0.5207611149534355,0.5236714738720313
8,0.2875,0.375,0.371875,0.4125,0.3296875,0.39375,0.5244075686071343,0.5253366234947667
9,0.721875,0.775,0.075,0.0375,0.3984375,0.40625,0.517485436412446,0.5184004178142522
10,0.128125,0.1,0.653125,0.6625,0.390625,0.38125,0.5308035616811232,0.5305619089403809
