,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5001770246266701,0.5003282228491657
1,0.609375,0.5875,0.153125,0.15,0.38125,0.36875,0.5063224520715384,0.5079410263126418
2,0.7,0.6375,0.09375,0.1,0.396875,0.36875,0.5094327538835165,0.5116055413022352
3,0.2375,0.2875,0.453125,0.4375,0.3453125,0.3625,0.5117647074169162,0.514171903683395
4,0.16875,0.2,0.48125,0.45,0.325,0.325,0.5142820528742068,0.5174169816322352
5,0.459375,0.475,0.140625,0.15,0.3,0.3125,0.5173786685403685,0.5205496575886309
6,0.3375,0.3875,0.2375,0.25,0.2875,0.31875,0.5195569289816193,0.5227419845687284
7,0.290625,0.3375,0.284375,0.3125,0.2875,0.325,0.5213668568971026,0.5247541216942995
8,0.340625,0.4,0.190625,0.225,0.265625,0.3125,0.5241753432970774,0.5278975967814559
9,0.5125,0.5,0.1,0.0875,0.30625,0.29375,0.526688721544079,0.5304137140398286
10,0.44375,0.4625,0.121875,0.1125,0.2828125,0.2875,0.528819718297205,0.53301633866974
