,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.771875,0.7375,0.153125,0.175,0.4625,0.45625,0.5006098140746774,0.5001086795756178
1,0.0,0.0,1.0,1.0,0.5,0.5,0.5000366956085269,0.498988183057294
2,0.0,0.0,1.0,1.0,0.5,0.5,0.500190699921103,0.4997902826322962
3,0.0,0.0,1.0,1.0,0.5,0.5,0.500166482495775,0.49981157890771577
4,0.0,0.0125,1.0,1.0,0.5,0.50625,0.5000271146326772,0.49988461021808295
5,0.80625,0.7625,0.215625,0.175,0.5109375,0.46875,0.5000305218810228,0.4997804687972664
6,0.1,0.05,0.909375,0.9625,0.5046875,0.50625,0.4999555437736968,0.4997195742941514
7,0.08125,0.075,0.940625,0.95,0.5109375,0.5125,0.49970403617085174,0.49903379911828016
8,0.946875,0.975,0.028125,0.05,0.4875,0.5125,0.499626923115815,0.4983223847459285
9,0.003125,0.0,0.9875,0.9875,0.4953125,0.49375,0.499934845611537,0.4982923466584652
10,0.125,0.1375,0.8875,0.95,0.50625,0.54375,0.4997628235367516,0.4974467718608495
