,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.49909113881886336,0.49927087734149433
1,0.896875,0.85,0.084375,0.15,0.490625,0.5,0.500658558781758,0.5005167337183601
2,0.953125,0.95,0.0375,0.025,0.4953125,0.4875,0.5003142451853657,0.5003696454857037
3,0.384375,0.325,0.571875,0.55,0.478125,0.4375,0.5002733118464601,0.500348470651463
4,0.234375,0.2375,0.709375,0.75,0.471875,0.49375,0.5002388708736438,0.5004305621725498
5,0.234375,0.2125,0.775,0.6875,0.5046875,0.45,0.5001955035994922,0.5002754368964162
6,0.003125,0.0,1.0,1.0,0.5015625,0.5,0.5001534943608599,0.5001368211981587
7,0.0,0.0,1.0,1.0,0.5,0.5,0.5000829338514723,0.5001391844500784
8,0.0875,0.1125,0.89375,0.8625,0.490625,0.4875,0.5002675044567384,0.5003877413075826
9,0.065625,0.05,0.9375,0.925,0.5015625,0.4875,0.5004281826548203,0.5007145537300876
10,0.00625,0.0,0.99375,1.0,0.5,0.5,0.500002750603754,0.5000524035202032
