,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.49838043708749086,0.49730881277397276
1,0.765625,0.7875,0.153125,0.15,0.459375,0.46875,0.5020447938416961,0.5024681409557541
2,0.975,0.9625,0.0125,0.0125,0.49375,0.4875,0.5051153023796179,0.5050316165014694
3,0.425,0.4375,0.45,0.4375,0.4375,0.4375,0.5256257877605737,0.5295356291374892
4,0.821875,0.8625,0.121875,0.0875,0.471875,0.475,0.5197293935148056,0.5035098487005588
5,0.20625,0.2875,0.75625,0.8,0.48125,0.54375,0.5122642021530982,0.4818065908856396
6,0.884375,0.9,0.08125,0.0875,0.4828125,0.49375,0.5113226116583501,0.4918584097087161
7,0.8,0.925,0.109375,0.0875,0.4546875,0.50625,0.5309046364402886,0.4884432685529996
8,0.721875,0.8375,0.253125,0.25,0.4875,0.54375,0.5261327886537125,0.4654005063849855
9,0.8625,0.9375,0.0625,0.1,0.4625,0.51875,0.5288557681445176,0.4980499306331865
10,0.59375,0.7,0.36875,0.4,0.48125,0.55,0.5276342476202271,0.481255808429898
