,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5008661606610811,0.5009205821600233
1,0.0,0.0,1.0,1.0,0.5,0.5,0.5010522838069063,0.5013174157174424
2,0.0,0.0,1.0,1.0,0.5,0.5,0.5011706938490961,0.5016794951503909
3,0.021875,0.0,0.978125,1.0,0.5,0.5,0.50139246932111,0.5018615753765847
4,0.034375,0.025,0.940625,0.9625,0.4875,0.49375,0.5016942274622798,0.5022521087103773
5,0.225,0.275,0.684375,0.65,0.4546875,0.4625,0.5018486856624526,0.5024957124693541
6,0.209375,0.25,0.7,0.675,0.4546875,0.4625,0.5020547824576042,0.502807754855934
7,0.371875,0.3375,0.4875,0.425,0.4296875,0.38125,0.5023249583657423,0.5029978311630532
8,0.315625,0.3375,0.546875,0.475,0.43125,0.40625,0.5025329508305256,0.5033642675554056
9,0.49375,0.4875,0.359375,0.2875,0.4265625,0.3875,0.5028461184246099,0.5035952928929571
10,0.4875,0.475,0.35,0.2875,0.41875,0.38125,0.5029207076794859,0.5037509668033807
