,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.49940895044192485,0.4990918714547738
1,0.9875,0.975,0.00625,0.0125,0.496875,0.49375,0.4997660209423662,0.49929092694292726
2,0.846875,0.8875,0.134375,0.175,0.490625,0.53125,0.5003005290925812,0.49953747546819577
3,0.815625,0.8625,0.14375,0.175,0.4796875,0.51875,0.5004834882508777,0.49923784779377434
4,0.98125,1.0,0.015625,0.0,0.4984375,0.5,0.5004467109996614,0.49833581326859216
5,0.971875,1.0,0.025,0.0375,0.4984375,0.51875,0.5004096080531374,0.49713840485230787
6,0.965625,1.0,0.0375,0.0375,0.5015625,0.51875,0.49984092890133064,0.49505556800599226
7,0.909375,0.9875,0.109375,0.125,0.509375,0.55625,0.49918152323600873,0.4916513874049695
8,0.88125,0.9625,0.1625,0.175,0.521875,0.56875,0.49730350253205247,0.48619141927065446
9,0.715625,0.8875,0.284375,0.35,0.5,0.61875,0.49885065010978513,0.48307601408384215
10,0.70625,0.875,0.296875,0.35,0.5015625,0.6125,0.4974837424880755,0.47572223268238234
