,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5003023183371059,0.5003943150363377
1,0.86875,0.8625,0.0,0.0,0.434375,0.43125,0.5107747280112213,0.5139407718013306
2,0.521875,0.475,0.090625,0.1,0.30625,0.2875,0.5231254466092531,0.5291046913927182
3,0.34375,0.3875,0.178125,0.1875,0.2609375,0.2875,0.55584282968831,0.5644698203186957
4,0.334375,0.4125,0.190625,0.225,0.2625,0.31875,0.5982804853124882,0.6080075040582662
5,0.371875,0.45,0.146875,0.1875,0.259375,0.31875,0.6036247757627246,0.5972789335347283
6,0.4375,0.5,0.109375,0.15,0.2734375,0.325,0.6298574954409949,0.6098336696233991
7,0.284375,0.4375,0.2,0.225,0.2421875,0.33125,0.6279503252824592,0.60061787179419
8,0.26875,0.3375,0.290625,0.4125,0.2796875,0.375,0.6308395966553941,0.5936394883589335
9,0.65,0.7,0.059375,0.1,0.3546875,0.4,0.6116356860424151,0.5644325069294096
10,0.409375,0.5375,0.16875,0.225,0.2890625,0.38125,0.6309229574810311,0.578194406595607
