,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.4997497276963636,0.5000055827186245
1,0.165625,0.175,0.83125,0.8625,0.4984375,0.51875,0.500312772008888,0.500591101050202
2,0.28125,0.2375,0.703125,0.775,0.4921875,0.50625,0.5007613085381311,0.5010844439035467
3,0.525,0.4625,0.41875,0.4,0.471875,0.43125,0.5012294814811091,0.5016172911664037
4,0.35,0.2625,0.628125,0.7,0.4890625,0.48125,0.5015181570559459,0.5018249862206166
5,0.23125,0.2,0.684375,0.7625,0.4578125,0.48125,0.5017674681410473,0.5020483483182904
6,0.321875,0.25,0.528125,0.575,0.425,0.4125,0.5023386941075428,0.5028981267927032
7,0.371875,0.3,0.459375,0.525,0.415625,0.4125,0.5025781134103313,0.503130804345044
8,0.5,0.45,0.334375,0.3375,0.4171875,0.39375,0.5027591931627942,0.5032737301900696
9,0.409375,0.35,0.36875,0.375,0.3890625,0.3625,0.5032413449752487,0.5039540610308408
10,0.4375,0.3875,0.33125,0.3,0.384375,0.34375,0.5034281957993685,0.5041392110226381
