,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.959375,0.9625,0.046875,0.0375,0.503125,0.5,0.49982994217153126,0.49986607642858577
1,0.6,0.6125,0.2875,0.2875,0.44375,0.45,0.5020650585836053,0.5017116676217843
2,0.46875,0.4375,0.353125,0.325,0.4109375,0.38125,0.5041421077603411,0.5037518149020814
3,0.571875,0.55,0.246875,0.25,0.409375,0.4,0.5060498805323624,0.5052871639599753
4,0.68125,0.6875,0.165625,0.175,0.4234375,0.43125,0.5098898730294852,0.5085034221308525
5,0.296875,0.35,0.5625,0.5125,0.4296875,0.43125,0.5172724474363631,0.512880067833028
6,0.68125,0.7625,0.153125,0.175,0.4171875,0.46875,0.5265897531611367,0.5181108301245555
7,0.659375,0.75,0.1625,0.2,0.4109375,0.475,0.5339802468172112,0.5172188126041536
8,0.659375,0.725,0.2,0.175,0.4296875,0.45,0.5341524664827426,0.5119055176338346
9,0.63125,0.6875,0.240625,0.2125,0.4359375,0.45,0.5412320623421217,0.5158465345320165
10,0.528125,0.6375,0.33125,0.35,0.4296875,0.49375,0.5457693173543167,0.5138283895973048
