,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.500512482048346,0.5017113627405969
1,0.859375,1.0,0.125,0.0625,0.4921875,0.53125,0.5028589338501591,0.49909421699767653
2,0.828125,0.9375,0.109375,0.125,0.46875,0.53125,0.5036608263777418,0.4992615256600019
3,0.625,0.8125,0.140625,0.125,0.3828125,0.46875,0.504216353786785,0.4995937209567114
