,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.49859812209696025,0.49795614457696463
1,0.825,0.8,0.025,0.0,0.425,0.4,0.5056590987622958,0.5074091285577335
2,0.628125,0.575,0.053125,0.025,0.340625,0.3,0.5138621423424528,0.5182220291467752
3,0.56875,0.5625,0.0625,0.05,0.315625,0.30625,0.5257843772419536,0.5326436851783851
4,0.35625,0.375,0.165625,0.175,0.2609375,0.275,0.5434874382273902,0.553202765049011
5,0.065625,0.0875,0.609375,0.575,0.3375,0.33125,0.5637061994226974,0.5739073139407493
6,0.175,0.175,0.328125,0.4625,0.2515625,0.31875,0.5745570479428761,0.5813553667807537
7,0.296875,0.3,0.1875,0.175,0.2421875,0.2375,0.5863706259652858,0.5906321347449368
8,0.4,0.4375,0.134375,0.1875,0.2671875,0.3125,0.5934361252172813,0.5900080963806398
9,0.55625,0.5625,0.05,0.05,0.303125,0.30625,0.6099466672525049,0.6103572794959703
10,0.3875,0.4125,0.196875,0.175,0.2921875,0.29375,0.6174685198995091,0.6089570027947173
