,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5003294888896426,0.5005963321767244
1,0.865625,0.825,0.0,0.0,0.4328125,0.4125,0.5029215439689331,0.5036531501385739
2,0.834375,0.7875,0.00625,0.0125,0.4203125,0.4,0.5047942859521191,0.5061468779741112
3,0.815625,0.75,0.00625,0.0125,0.4109375,0.38125,0.5068503325579308,0.5087541696456321
4,0.384375,0.3875,0.2125,0.175,0.2984375,0.28125,0.509230840992305,0.5111680261712791
5,0.40625,0.4,0.20625,0.1625,0.30625,0.28125,0.5133577944331855,0.5159098080200287
6,0.5,0.5375,0.153125,0.0875,0.3265625,0.3125,0.5183986382212974,0.5216079105355119
7,0.028125,0.0,0.9125,0.875,0.4703125,0.4375,0.5156261747960755,0.5186101050872696
8,0.0125,0.0125,0.909375,0.875,0.4609375,0.44375,0.5226988316442654,0.52676317922673
9,0.015625,0.0,0.9125,0.9,0.4640625,0.45,0.5290778141099396,0.5318047521797966
10,0.13125,0.1125,0.553125,0.625,0.3421875,0.36875,0.5433179738949121,0.5454056547619678
