,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.4996182388075141,0.5005694476890278
1,1.0,1.0,0.0,0.0,0.5,0.5,0.5003116215658093,0.5010216269545513
2,1.0,1.0,0.003125,0.0,0.5015625,0.5,0.5005390844070624,0.5013305804920868
3,0.95,0.9625,0.0375,0.05,0.49375,0.50625,0.5007117589093245,0.5015724616342131
4,0.7,0.675,0.25625,0.3,0.478125,0.4875,0.5009515014534935,0.5017933289787422
5,0.340625,0.2875,0.55625,0.5625,0.4484375,0.425,0.501242494467597,0.5020333700789711
6,0.440625,0.4,0.471875,0.4125,0.45625,0.40625,0.5014230226110179,0.5022427875363686
7,0.65625,0.6375,0.240625,0.2875,0.4484375,0.4625,0.5015705216470201,0.5024847683083091
8,0.3625,0.325,0.5,0.4875,0.43125,0.40625,0.5018923980532544,0.5027564199384658
9,0.521875,0.4875,0.334375,0.375,0.428125,0.43125,0.5021169389423944,0.503019918000705
10,0.50625,0.4625,0.365625,0.375,0.4359375,0.41875,0.5022476938352133,0.5031809954081992
