,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.453125,0.475,0.603125,0.625,0.528125,0.55,0.49918599500843797,0.499640367023361
1,0.059375,0.0875,0.884375,0.9,0.471875,0.49375,0.5039292907511734,0.5037719064655515
2,0.625,0.5625,0.1875,0.225,0.40625,0.39375,0.5203086031772509,0.5210026170028182
3,0.2875,0.2875,0.56875,0.6625,0.428125,0.475,0.5375526595422114,0.529732765756376
4,0.634375,0.625,0.153125,0.2,0.39375,0.4125,0.5513117381936625,0.5349896264085595
5,0.696875,0.75,0.2,0.2625,0.4484375,0.50625,0.5399711651251936,0.49037780862409475
6,0.546875,0.625,0.24375,0.325,0.3953125,0.475,0.5687896900223877,0.5224012246729279
7,0.559375,0.675,0.278125,0.325,0.41875,0.5,0.5674450952416221,0.5110291966581528
8,0.4625,0.5,0.371875,0.425,0.4171875,0.4625,0.572795470573209,0.5245984643892028
9,0.640625,0.65,0.2125,0.25,0.4265625,0.45,0.5667340700240281,0.517234203083991
10,0.790625,0.825,0.08125,0.15,0.4359375,0.4875,0.5566999748482502,0.5015543003138161
