,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5005537133979712,0.500855143243541
1,0.00625,0.0,0.890625,0.8625,0.4484375,0.43125,0.5059451375420572,0.5078919251548626
2,0.184375,0.125,0.403125,0.3375,0.29375,0.23125,0.5066267735546125,0.5092012402727791
3,0.365625,0.3,0.2,0.1375,0.2828125,0.21875,0.5100242722981092,0.5133072253540666
4,0.128125,0.075,0.45625,0.425,0.2921875,0.25,0.5144213862100441,0.5188355648371994
5,0.0125,0.0,0.828125,0.7875,0.4203125,0.39375,0.5202255562580115,0.5259840665570672
6,0.325,0.325,0.2125,0.225,0.26875,0.275,0.5226917998841374,0.5271112962638499
7,0.2875,0.275,0.221875,0.1875,0.2546875,0.23125,0.5346426946804315,0.5425805522511757
8,0.121875,0.0625,0.490625,0.4875,0.30625,0.275,0.5433850240185742,0.5517396944399912
9,0.115625,0.05,0.475,0.475,0.2953125,0.2625,0.5552645294468842,0.5650186369367194
10,0.11875,0.075,0.453125,0.4625,0.2859375,0.26875,0.5622637023520799,0.5706457993082873
