,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5007802516876373,0.5014005376990821
1,0.25625,0.225,0.4375,0.4125,0.346875,0.31875,0.5051171488820524,0.5069699069975853
2,0.2,0.1875,0.41875,0.4125,0.309375,0.3,0.5072221271075957,0.5094885096891412
3,0.43125,0.35,0.203125,0.175,0.3171875,0.2625,0.509312991810717,0.5124401138664834
4,0.33125,0.2625,0.25625,0.25,0.29375,0.25625,0.5113050454224988,0.5150281487169996
5,0.171875,0.1625,0.371875,0.3875,0.271875,0.275,0.5134782506528706,0.517803199052449
6,0.43125,0.3625,0.15625,0.1625,0.29375,0.2625,0.5150861001856838,0.5199841780039234
7,0.271875,0.2375,0.271875,0.2875,0.271875,0.2625,0.5176497621242385,0.5231822951580375
8,0.33125,0.275,0.215625,0.2,0.2734375,0.2375,0.5196973666000295,0.5258040436966145
9,0.353125,0.325,0.1875,0.175,0.2703125,0.25,0.5219914147232307,0.528785233529379
10,0.45625,0.4,0.140625,0.15,0.2984375,0.275,0.5241775504046099,0.531532314421572
