,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5010970489018908,0.501751829661136
1,0.0,0.0,0.96875,0.9375,0.484375,0.46875,0.5094871635349966,0.5125179232279024
2,0.028125,0.025,0.675,0.6,0.3515625,0.3125,0.5141564575056431,0.5189441287547144
3,0.225,0.175,0.3,0.225,0.2625,0.2,0.5201395199526845,0.5260678717346368
4,0.08125,0.0625,0.5125,0.475,0.296875,0.26875,0.526699925241983,0.5341162389774625
5,0.415625,0.4,0.128125,0.1375,0.271875,0.26875,0.5344038270895934,0.542650628338065
6,0.034375,0.0125,0.734375,0.7125,0.384375,0.3625,0.546865204738066,0.5566823127112338
7,0.69375,0.6875,0.015625,0.0125,0.3546875,0.35,0.5499261078136896,0.5592900342518542
8,0.096875,0.0875,0.471875,0.45,0.284375,0.26875,0.5704285029209611,0.5827802508560719
9,0.5,0.5375,0.09375,0.075,0.296875,0.30625,0.5763153555978648,0.5829060992763134
10,0.375,0.4,0.128125,0.1375,0.2515625,0.26875,0.5819762136176356,0.5914084573702352
