,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.4997734420674866,0.5002264314475152
1,0.009375,0.0,0.878125,0.825,0.44375,0.4125,0.5049151861609495,0.5062834070910606
2,0.509375,0.5,0.159375,0.125,0.334375,0.3125,0.5067613427707423,0.5083778650482849
3,0.05,0.0375,0.625,0.6125,0.3375,0.325,0.5096760213093483,0.5115357038221563
4,0.2125,0.2375,0.38125,0.4,0.296875,0.31875,0.5144617199259782,0.5168489786046916
5,0.03125,0.0,0.721875,0.6625,0.3765625,0.33125,0.5193474512587555,0.5225815415160906
6,0.596875,0.6375,0.125,0.075,0.3609375,0.35625,0.5232819005712891,0.525926944441298
7,0.98125,0.95,0.0,0.0125,0.490625,0.48125,0.5238742175712068,0.5251113917477981
8,0.99375,0.95,0.0,0.0125,0.496875,0.48125,0.5322437507466252,0.5336412525692753
9,0.55,0.5875,0.13125,0.1125,0.340625,0.35,0.5423118938948084,0.5434720872017277
10,0.80625,0.8125,0.028125,0.0125,0.4171875,0.4125,0.5426741220889693,0.5411969799826435
