,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.49844094851436793,0.4986260861670079
1,0.0,0.0125,0.925,0.8875,0.4625,0.45,0.5038913734704263,0.505177631032247
2,0.103125,0.075,0.61875,0.625,0.3609375,0.35,0.5057939510867209,0.5075697579237447
3,0.50625,0.4125,0.15,0.175,0.328125,0.29375,0.5073565485467734,0.5096558154373065
4,0.7875,0.7625,0.025,0.0,0.40625,0.38125,0.5121711944260677,0.5156538585395627
5,0.15,0.1375,0.496875,0.5,0.3234375,0.31875,0.515238327129086,0.5198101069160195
6,0.771875,0.775,0.021875,0.0125,0.396875,0.39375,0.5161251025262187,0.5190594396655287
7,0.953125,0.9375,0.0,0.0,0.4765625,0.46875,0.5173799561167415,0.5208580699062436
8,0.103125,0.1,0.603125,0.6,0.353125,0.35,0.5291187117123697,0.5348313688619873
9,0.440625,0.4125,0.146875,0.1875,0.29375,0.3,0.5355098336447215,0.5409971346967245
10,0.909375,0.875,0.0,0.0,0.4546875,0.4375,0.5347411160697078,0.5405168199347241
