,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.4992528157676315,0.4991078002158112
1,0.125,0.125,0.89375,0.8875,0.509375,0.50625,0.49968906447566963,0.49999539430956885
2,0.915625,0.9375,0.1,0.0875,0.5078125,0.5125,0.49988552188977664,0.5001244880381304
3,0.0875,0.0875,0.91875,0.8625,0.503125,0.475,0.4996621155776351,0.49966791562233154
4,1.0,0.9875,0.0,0.0,0.5,0.49375,0.49981300434303577,0.5001688128040052
5,1.0,1.0,0.0,0.0,0.5,0.5,0.49999829202928564,0.5000605074966729
6,0.878125,0.875,0.178125,0.1875,0.528125,0.53125,0.4998563842225199,0.49981472568986673
7,0.996875,0.9875,0.0,0.0,0.4984375,0.49375,0.49998288614347697,0.4998712893005724
8,0.0,0.0,1.0,1.0,0.5,0.5,0.4999056867730863,0.4994049079692179
9,0.15625,0.1375,0.875,0.8875,0.515625,0.5125,0.4999700231007321,0.5000406056154333
10,0.978125,0.975,0.0375,0.0125,0.5078125,0.49375,0.4999335816898462,0.5001429294885267
