,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.499315150845346,0.49964347703657347
1,0.16875,0.1,0.671875,0.65,0.4203125,0.375,0.5045457288540783,0.5056008669181505
2,0.3625,0.3125,0.2125,0.1875,0.2875,0.25,0.5086679882189274,0.5105239139306772
3,0.459375,0.425,0.14375,0.125,0.3015625,0.275,0.5118424905293137,0.5145215879533787
4,0.63125,0.625,0.0375,0.025,0.334375,0.325,0.5155984477089655,0.5192689626383521
5,0.30625,0.2875,0.209375,0.2,0.2578125,0.24375,0.517621616374456,0.5217673573212768
6,0.165625,0.1125,0.35625,0.325,0.2609375,0.21875,0.5216846793546509,0.5269913972036367
7,0.259375,0.2375,0.228125,0.1875,0.24375,0.2125,0.5255691794247273,0.5311947671174647
8,0.1125,0.1,0.4,0.4,0.25625,0.25,0.5287972881283123,0.5346331333859711
9,0.265625,0.25,0.225,0.1875,0.2453125,0.21875,0.5323749842016096,0.5386842522762565
10,0.3875,0.4,0.14375,0.1125,0.265625,0.25625,0.5365089495835191,0.5429806466978524
