,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.0,0.0,1.0,1.0,0.5,0.5,0.5001640695181317,0.5002921671968663
1,0.60625,0.6,0.396875,0.3375,0.5015625,0.46875,0.5005250747867898,0.5007131845281113
2,0.440625,0.4875,0.496875,0.5,0.46875,0.49375,0.5005323063476169,0.5009074335376671
3,0.021875,0.025,0.99375,1.0,0.5078125,0.5125,0.4994917941934641,0.4988353984820136
4,0.784375,0.6875,0.159375,0.1625,0.471875,0.425,0.5067727079148535,0.5071010620983193
5,0.125,0.1125,0.821875,0.85,0.4734375,0.48125,0.5035732850484334,0.5004702445032116
6,0.08125,0.0375,0.85625,0.9,0.46875,0.46875,0.5077147189355987,0.49991368010011444
7,0.953125,0.95,0.046875,0.0625,0.5,0.50625,0.5025580134199961,0.4970802019228331
8,0.959375,0.95,0.003125,0.0125,0.48125,0.48125,0.5181578307210841,0.5128754179313246
9,0.071875,0.0625,0.815625,0.9,0.44375,0.48125,0.514867870220989,0.5030060859710739
10,0.896875,0.8875,0.05625,0.075,0.4765625,0.48125,0.5133118327373172,0.5073092457889301
